tagName,tagCount
artificial-intelligence,3682
machine-learning,731
neural-network,639
algorithm,601
java,417
python,336
c#,175
nlp,157
c++,143
minimax,140
genetic-algorithm,126
search,112
heuristics,98
a-star,89
path-finding,82
classification,79
data-mining,76
prolog,76
matlab,73
logic,71
image-processing,70
backpropagation,69
alpha-beta-pruning,68
computer-vision,64
tic-tac-toe,55
reinforcement-learning,55
unity3d,54
javascript,54
language-agnostic,49
chess,48
math,47
android,47
php,47
computer-science,47
graph,46
bots,42
optimization,41
opencv,40
c,38
svm,37
deep-learning,36
perceptron,35
statistics,35
chatbot,34
robotics,34
cluster-analysis,32
decision-tree,32
tensorflow,31
expert-system,30
recursion,30
scikit-learn,29
depth-first-search,29
game-engine,29
.net,29
graph-algorithm,27
probability,26
tree,26
bayesian,25
encog,24
minmax,24
pattern-recognition,23
image,23
ruby,22
evolutionary-algorithm,22
weka,22
aiml,22
python-2.7,21
image-recognition,21
planning,21
fuzzy-logic,21
genetic-programming,20
game-ai,20
pybrain,20
montecarlo,19
lisp,19
data-structures,19
performance,19
r,19
agent,18
simulated-annealing,17
database,17
bayesian-networks,17
xna,17
pattern-matching,16
q-learning,16
supervised-learning,16
markov-chains,16
arrays,16
prediction,16
ocr,16
theory,15
actionscript-3,15
breadth-first-search,15
pygame,15
8-puzzle,15
simulation,15
mathematical-optimization,15
pacman,14
programming-languages,14
python-3.x,14
clips,14
2d,14
evaluation,13
libsvm,13
recommendation-engine,13
2d-games,13
recurrent-neural-network,13
gradient-descent,13
numpy,13
information-retrieval,13
parsing,13
random,13
game-theory,13
time-series,13
voice-recognition,13
k-means,12
multithreading,12
iterative-deepening,12
iphone,12
first-order-logic,12
objective-c,12
puzzle,12
unityscript,11
libgdx,11
pddl,11
speech-recognition,11
inference,11
ios,11
text,11
constraints,10
complexity-theory,10
string,10
unsupervised-learning,10
unity5,10
state-space,10
chat,10
lstm,10
mysql,10
regex,10
dijkstra,9
flash,9
graph-theory,9
regression,9
geometry,9
n-queens,9
swing,9
convolution,9
markov,9
project,9
open-source,9
research,9
maze,9
biological-neural-network,9
conv-neural-network,9
face-detection,8
api,8
poker,8
face-recognition,8
hill-climbing,8
design,8
aforge,8
voice,8
semantics,8
negamax,8
matrix,8
fann,8
hidden-markov-models,8
movement,8
constraint-programming,8
audio,8
reasoning,8
dataset,8
data-analysis,8
list,8
nltk,8
text-processing,8
robot,8
caffe,8
artificial-life,8
rule-engine,7
unification,7
linguistics,7
evaluation-function,7
signal-processing,7
feed-forward,7
self-organizing-maps,7
text-mining,7
theano,7
path,7
game-physics,7
haskell,7
functional-programming,7
vb.net,7
music,7
visual-c++,7
constraint-satisfaction,7
rbm,7
adaboost,7
traveling-salesman,7
animation,6
node.js,6
html5,6
xor,6
predicate,6
pseudocode,6
compiler-construction,6
markov-models,6
user-interface,6
frameworks,6
function,6
ontology,6
pso,6
sql,6
normalization,6
lua,6
automation,6
som,6
clojure,6
ruby-on-rails,6
common-lisp,6
graphics,6
greedy,6
design-patterns,6
class,6
oop,5
windows,5
linear-regression,5
physics,5
rules,5
drools,5
knowledge-management,5
training-data,5
facebook,5
fuzzy,5
web,5
time-complexity,5
keras,5
web-crawler,5
gaming,5
testing,5
search-engine,5
sentiment-analysis,5
preprocessor,5
octave,5
sorting,5
temporal-difference,5
data-modeling,5
shortest-path,5
agents-jade,5
