tagName,tagCount
machine-learning,12367
python,3080
scikit-learn,1771
neural-network,1576
classification,1322
svm,999
r,914
matlab,752
nlp,737
artificial-intelligence,731
weka,613
algorithm,607
java,594
computer-vision,578
tensorflow,568
deep-learning,537
data-mining,499
libsvm,366
cluster-analysis,363
statistics,358
opencv,355
numpy,340
image-processing,307
decision-tree,288
random-forest,284
c++,283
regression,281
apache-spark,265
python-2.7,250
logistic-regression,223
pandas,200
caffe,186
linear-regression,182
cross-validation,178
feature-selection,171
text-classification,170
conv-neural-network,170
k-means,165
prediction,165
theano,159
azure-machine-learning,153
feature-extraction,149
nltk,148
supervised-learning,145
gradient-descent,144
scipy,138
bayesian,136
mahout,136
keras,131
recommendation-engine,125
azure,124
apache-spark-mllib,120
pca,120
backpropagation,110
knn,110
c#,105
naivebayes,102
reinforcement-learning,99
math,97
dataset,97
text-mining,95
sentiment-analysis,95
scala,94
hadoop,92
r-caret,91
pattern-recognition,91
optimization,89
perceptron,84
hidden-markov-models,81
data-science,81
probability,81
unsupervised-learning,81
matrix,79
python-3.x,79
time-series,78
document-classification,76
bigdata,75
training-data,74
information-retrieval,71
pybrain,67
data-analysis,66
stanford-nlp,64
azure-ml,64
octave,61
adaboost,61
collaborative-filtering,60
recurrent-neural-network,60
xgboost,60
torch,57
lstm,57
vowpalwabbit,57
bayesian-networks,55
image-recognition,55
genetic-algorithm,54
normalization,53
nearest-neighbor,53
pyspark,50
mathematical-optimization,49
multilabel-classification,49
roc,49
tf-idf,49
word2vec,49
hierarchical-clustering,48
gaussian,48
language-agnostic,47
android,47
pattern-matching,47
image,46
matplotlib,46
dimensionality-reduction,45
text,45
performance,43
csv,43
linear-algebra,42
q-learning,41
ensemble-learning,40
c,40
scikits,39
lda,39
encog,38
arff,37
rapidminer,37
precision-recall,37
twitter,36
topic-modeling,36
svmlight,34
amazon-web-services,34
mnist,33
confusion-matrix,33
ocr,33
computer-science,33
rbm,33
vector,31
sparse-matrix,31
parallel-processing,30
signal-processing,30
lua,29
h2o,29
dataframe,28
object-detection,28
graph,28
javascript,28
convolution,27
autoencoder,27
grid-search,27
mahout-recommender,27
predict,27
plot,27
php,27
similarity,27
search,26
mapreduce,26
database,26
mallet,25
validation,25
gensim,25
hyperparameters,24
tree,24
ranking,24
missing-data,24
face-recognition,24
feature-detection,23
categorical-data,23
liblinear,23
opennlp,23
self-organizing-maps,23
speech-recognition,23
crf,23
text-analysis,22
svd,22
lasagne,22
pycaffe,22
ruby,22
cortana-intelligence,22
named-entity-recognition,22
audio,22
cosine-similarity,22
regex,21
memory,21
entropy,21
data-modeling,21
accord.net,21
gbm,20
spam-prevention,20
gradient,20
tensorboard,20
forecasting,20
correlation,20
string,19
predictionio,19
cluster-computing,19
kernel,19
som,19
evaluation,19
parsing,19
distance,18
pipeline,18
data-structures,18
rpart,17
arrays,17
haar-classifier,17
convex-optimization,17
dbscan,17
api,17
dictionary,17
linux,16
vectorization,16
.net,16
hash,16
data-visualization,16
distributed-computing,16
image-segmentation,16
multithreading,16
information-extraction,16
function,16
osx,16
markov-chains,16
analytics,16
sql,15
ios,15
gpu,15
auc,15
glm,15
random,15
mixture-model,15
pylearn,15
glmnet,15
lucene,15
statsmodels,15
object-recognition,14
text-processing,14
apache-spark-ml,14
modeling,14
apache,13
mysql,13
ubuntu,13
orange,13
n-gram,13
pmml,13
windows,13
linguistics,13
categorization,13
face-detection,13
gate,13
regularized,13
genetic-programming,13
testing,13
opencv3.0,12
multidimensional-array,12
robotics,12
solr,12
node.js,12
evolutionary-algorithm,12
biological-neural-network,12
matrix-factorization,12
pickle,11
markov,11
kernel-density,11
markov-models,11
dbn,11
non-linear-regression,11
precision,11
nnet,11
encoding,11
sampling,11
softmax,11
mongodb,11
lasso,11
em,11
parameters,10
xml,10
google-prediction,10
amazon-machine-learning,10
outliers,10
normal-distribution,10
model,10
corpus,10
excel,10
ruby-on-rails,10
gesture-recognition,10
sift,10
curve-fitting,10
memory-management,10
mfcc,9
machine-translation,9
web-services,9
json,9
deeplearning4j,9
programming-languages,9
gpgpu,9
music,9
bioinformatics,9
temporal-difference,9
list,9
euclidean-distance,9
boosting,9
elasticsearch,9
locality-sensitive-hash,9
shogun,9
spark-streaming,9
large-data,9
semantics,9
