tagName,tagCount
data-visualization,2279
javascript,561
r,515
d3.js,513
visualization,264
python,203
charts,200
ggplot2,176
plot,105
c#,104
graph,96
matplotlib,91
highcharts,73
svg,73
jquery,67
matlab,56
google-visualization,54
java,47
.net,45
bar-chart,38
json,38
graph-visualization,37
html,37
mschart,36
wpf,35
3d,34
tableau,33
heatmap,32
asp.net,32
pandas,31
graphics,29
dimple.js,26
csv,26
winforms,26
bokeh,24
gnuplot,24
statistics,22
time-series,22
cluster-analysis,22
scatter-plot,22
histogram,21
php,20
css,20
seaborn,18
dc.js,18
c++,18
google-maps,18
excel,17
tree,17
flex,17
boxplot,17
python-2.7,15
database,15
machine-learning,15
lattice,14
vtk,14
colors,13
maps,13
nvd3.js,13
processing,12
matrix,12
mayavi,12
crossfilter,12
force-layout,12
mysql,12
algorithm,12
linechart,11
numpy,11
animation,11
data-analysis,11
vb.net,11
pie-chart,11
bigdata,11
plotly,10
wpftoolkit,10
html5,10
legend,10
shiny,10
mongodb,10
canvas,10
opengl,9
flash,9
gephi,9
arrays,9
user-interface,9
paraview,9
diagram,9
sigma.js,8
geojson,8
c,8
real-time,8
map,8
web-applications,8
geospatial,8
xml,8
large-data,7
correlation,7
chord-diagram,7
networkx,7
api,7
multidimensional-array,7
dataset,7
python-3.x,7
leaflet,7
qt,7
google-maps-api-3,7
treemap,7
data-binding,7
elasticsearch,7
image,7
highstock,7
audio,7
scipy,7
analytics,7
graphviz,7
igraph,7
scale,6
neo4j,6
android,6
mapping,6
c3.js,6
parallel-coordinates,6
spotfire,6
timeline,6
webgl,6
silverlight,6
cubism.js,6
sankey-diagram,6
prefuse,6
c3,6
kibana,6
coffeescript,6
asp.net-mvc,6
gis,6
social-networking,6
interactive,5
tooltip,5
dashboard,5
business-intelligence,5
open-source,5
design,5
google-analytics,5
topojson,5
actionscript-3,5
protovis,5
data-structures,5
html5-canvas,5
kendo-ui,5
axis-labels,5
ggvis,5
data-mining,5
node.js,5
dataframe,5
sql,5
datavisualization.toolkit,5
hadoop,5
venn-diagram,5
stream-graph,5
regression,5
qlikview,5
normal-distribution,5
wolfram-mathematica,4
postgresql,4
visual-studio-2010,4
osx,4
hierarchical-clustering,4
xaml,4
hexagonal-tiles,4
sunburst-diagram,4
label,4
flot,4
django,4
pdf,4
vega,4
ggmap,4
data-modeling,4
contour,4
fusioncharts,4
facet,4
loops,4
raphael,4
ruby,4
asp.net-charts,4
k-means,4
amcharts,4
reporting-services,4
mvvm,4
normalization,4
three.js,4
word-cloud,4
infovis,4
report,4
ajax,4
cesium,4
bubble-chart,4
matlab-figure,4
image-processing,4
information-visualization,4
powerbi,4
directed-graph,3
debugging,3
kibana-4,3
tm,3
gauge,3
f#,3
vector-graphics,3
classification,3
distribution,3
excel-2013,3
chart.js,3
angularjs,3
math,3
cytoscape.js,3
calendar,3
openstreetmap,3
categorical-data,3
filtering,3
confusion-matrix,3
circle-pack,3
computer-science,3
visual-c++,3
interpolation,3
circos,3
elk-stack,3
shieldui,3
tableau-public,3
linegraph,3
google-fusion-tables,3
windows,3
dygraphs,3
memory,3
tufte,3
sql-server,3
text-mining,3
graphing,3
waveform,3
database-design,3
stata,3
nested,3
dundas,3
language-agnostic,3
tcl,3
party,3
optimization,3
grafana,3
cmake,3
gojs,3
svm,3
axis,3
thejit,3
sas,3
column-chart,3
candlestick-chart,3
web,3
excel-vba,3
dictionary,3
simulation,3
latex,3
graphite,3
tableau-server,3
google-spreadsheet,3
hierarchical-data,3
user-experience,3
directed-acyclic-graphs,3
jqplot,3
scatter3d,3
wpf-controls,3
nodes,3
.net-4.0,3
multi-dimensional-scaling,3
table,3
ios,3
powerview,3
kdtree,2
windows-phone-7,2
twitter,2
dot,2
rickshaw,2
asp.net-4.0,2
visualizer,2
metrics,2
ipython-notebook,2
devexpress,2
great-circle,2
large-data-volumes,2
visual-studio-2013,2
firefox,2
vispy,2
voronoi,2
tsv,2
donut-chart,2
flotr2,2
amazon-web-services,2
data-cleansing,2
eclipse,2
computer-vision,2
genetic-algorithm,2
convex-hull,2
chap-links-library,2
perl,2
flowchart,2
eclipse-gef,2
kendo-dataviz,2
highcharts-ng,2
objective-c,2
line,2
responsive-design,2
recursion,2
keen-io,2
arc-diagram,2
kml,2
annotatedtimeline,2
architecture,2
sensor,2
pyqt4,2
volume-rendering,2
kernel-density,2
subset,2
bloomberg,2
websocket,2
stream,2
aggregate,2
sitemap,2
scikit-learn,2
actionscript,2
shinyapps,2
montecarlo,2
datetime,2
data-science,2
graph-theory,2
graph-databases,2
datagrid,2
cross-browser,2
hive,2
vega-lite,2
drawing,2
reporting,2
nosql,2
phylogeny,2
fill,2
subplot,2
packages,2
data-warehouse,2
